FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,BeforeTaxInterestRate,AfterTaxInterestRate,AfterTaxInterest,BestInterestRate,JoinMember,InterestCalcMethod,ContactDepartment,HompUrl,CalTel,JoinWay,SpclCnd,MtrtInt,EtcNote,직업,학습,건강,관계,주거,사회참여,여가,재무,발급제한
10349,0803,디비저축은행,M-Dream Big 자유적금 (모바일),자유적립식,0.036,0.0305,-,만19세이상실명의개인고객(1인1계좌한정),제한없음,복리,http://www.idbsb.com/,237051700,스마트폰,*우대이율:만기유지시만기축하이율연0.40%적용-기본이율3.60%+우대이율0.40%※우대이율은중도해지시에는적용되지않습니다.-자세한내용은당사모바일뱅킹APP을통해확인하여주시기바랍니다.,"-1개월이하:기본이율-1개월초과:0.5%기본이율:신규일당시고시이율(단,우대이율제외)","-최소가입금액:1,000원이상-한도:분기당50만원(연2백만원)*분기예)1~3월,4~6월,7~9월,10~12월",0,0,0,0,0,0,0,100,0
10534,WR0001O,스마트저축은행,smart-i 정기적금,정액적립식,0.035,0.0296,"19,247","예,적금첫거래일반개인고객",제한없음,단리,http://www.smartbank.co.kr/,16613651,스마트폰,"당행과협약된제휴기업임,직원중예,적금첫거래개인고객*일반상품약정금리의0.5%추가적용",-만기후1개월이내:가입당시약정이율과만기시점해당상품신규약정이율중낮은이율-만기후1개월이후:0.3%,가입채널제한(스마트폰전용),0,0,0,0,0,0,0,100,0
10534,WR0001O,스마트저축은행,smart-i 정기적금,정액적립식,0.035,0.0296,"19,422","예,적금첫거래일반개인고객",제한없음,복리,http://www.smartbank.co.kr/,16613651,스마트폰,"당행과협약된제휴기업임,직원중예,적금첫거래개인고객*일반상품약정금리의0.5%추가적용",-만기후1개월이내:가입당시약정이율과만기시점해당상품신규약정이율중낮은이율-만기후1개월이후:0.3%,가입채널제한(스마트폰전용),0,0,0,0,0,0,0,100,0
10471,31-0030,페퍼저축은행,페퍼룰루2030적금,정액적립식,0.035,0.0296,"19,247","-실명의개인(1인1계좌,당행입출금계좌보유고객)",제한없음,단리,http://www.pepperbank.kr/index.do,15990722,스마트폰,"-우대이율최고연1.5%적용(우대금리는만기해지에한해조건충족시적용)조건1)당행입출금계좌에서페퍼룰루적금2030적금계좌로6회이상자동이체시1.0%우대조건2)마케팅상품서비스안내(문자,전화2개항목)모두동의시(신규일부터만기일까지유지)0.5%우대*조건1,2는각각적용가능","-만기후1개월이내:당초기본이율과만기시점동일상품동일계약기간의신규기본이율중낮은이율을적용-만기후1개월초과:보통예금이율(연0.50%)적용-납입지연이율,만기앞당김이율:기간별가입당일약정이율적용","-비대면전용,기본이율3.5%+우대이율최고1.5%(우대이율:당행입출금계좌에서페퍼룰루2030적금으로6회이상자동이체시1.0%,마케팅상품서비스안내문자전화동의시0.5%)-가입자격:1인1계좌당행입출금계좌보유고객-가입기간:12개월-가입금액:1만원~30만원",0,0,0,0,0,0,0,100,1
13350,1130312007,웰컴저축은행,WELCOME 첫거래우대 e정기적금,정액적립식,0.032,0.0271,"17,597",-최초개설한예·적금(입출금이자유로운예금포함)가입일로부터30일內가입,제한없음,단리,http://www.welcomebank.co.kr/,16610001,인터넷,-8회이상당행입출금통장통한자동이체로납입시연1.0%p-적금신규일부터계약상만기일전일까지의입출금통장평잔50만원이상시연0.0%p,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용하며,만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-본상품은최초개설한예·적금가입일로부터30일이내가입가능합니다.(30일경과시가입불가)※월최대불입액:30만원,0,0,0,0,0,0,0,100,0
13350,1130313504,웰컴저축은행,WELCOME 첫거래우대 m정기적금,정액적립식,0.032,0.0271,"17,597",-최초개설한예·적금(입출금이자유로운예금포함)가입일로부터30일內가입,제한없음,단리,http://www.welcomebank.co.kr/,16610001,스마트폰,-8회이상당행입출금통장통한자동이체로납입시연1.0%p-적금신규일부터계약상만기일전일까지의입출금통장평잔50만원이상시연0.0%p,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용하며,만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-본상품은최초개설한예·적금가입일로부터30일이내가입가능합니다.(30일경과시가입불가)※월최대불입액:30만원,0,0,0,0,0,0,0,100,0
10349,3138,디비저축은행,DreamBig정기적금(10만원),정액적립식,0.031,0.0262,"17,047",제한없음,제한없음,단리,http://www.idbsb.com/,237051700,"영업점,인터넷,스마트폰","적금가입이후부터적금만기30일이전까지DB손해보험다이렉트인터넷자동차보험을인터넷사이트를통해보험가입기간1년으로하여보험료금삼십만원(\300,000)이상의신규가입또는갱신하여적금만기시까지보험계약유지한경우*월불입금액10만원기준금리3.1%+우대금리3.8%=6.9%",-1개월이하:기본이율-1개월초과:0.5%,-1인1계좌(상세내용은홈페이지상품설명서참조),0,0,0,0,0,0,0,100,0
10464,310010,영진저축은행,e-정기예금,정액적립식,0.028,0.0237,"15,397",내·외국인대상,제한없음,단리,http://www.yjbank.co.kr,326512121,영업점,없음,-만기후1개월이내해지시약정이율적용(가입시점이율과만기시점이율중낮은이율)-만기후1개월이후해지시보통예금금리(0.5%)적용,1만원이상가입가능,0,0,0,0,0,0,0,100,0
10464,310011,영진저축은행,m-정기적금,정액적립식,0.028,0.0237,"15,397",내·외국인대상,제한없음,단리,http://www.yjbank.co.kr,326512121,영업점,없음,-만기후1개월이내해지시약정이율적용(가입시점이율과만기시점이율중낮은이율)-만기후1개월이후해지시보통예금금리(0.5%)적용,1만원이상가입가능,0,0,0,0,0,0,0,100,0
10464,310012,영진저축은행,SB톡톡-정기적금,정액적립식,0.028,0.0237,"15,397",내국인대상,제한없음,단리,http://www.yjbank.co.kr,326512121,영업점,없음,-만기후1개월이내해지시약정이율적용(가입시점이율과만기시점이율중낮은이율)-만기후1개월이후해지시보통예금금리(0.5%)적용,1만원이상가입가능,0,0,0,0,0,0,0,100,0
11551,310005,예가람저축은행,직장인 Plus정기적금,정액적립식,0.028,0.0237,"15,397",제한없음,제한없음,단리,http://www.yegaramsb.co.kr/,18777788,영업점,만기후원금12개월이상정기예금재예치시:0.1%우대,-만기후1개월이내:가입당시약정금리-만기후1개월초과:0.2%,"영업점전용상품,직장인고객",0,0,0,0,0,0,0,100,0
11551,310013,예가람저축은행,Hi!예가람e정기적금,정액적립식,0.028,0.0237,"15,397",제한없음,제한없음,단리,http://www.yegaramsb.co.kr/,18777788,"인터넷,스마트폰",없음,-만기후1개월이내:가입당시약정금리-만기후1개월초과:0.2%,1.비대면가입전용상품,0,0,0,0,0,0,0,100,0
13350,1130313561,웰컴저축은행,WELCOME 잔돈모아올림적금,자유적립식,0.028,0.0237,-,제한없음,제한없음,복리,http://www.welcomebank.co.kr/,16610001,스마트폰,"-만기올림서비스:만기해지시세후원리금을만원단위로올려주는서비스(아래모두충족시제공)1.만기시총불입금1백만원이상2.당행잔돈적립4회이상이용3.타행잔돈적립4회이상이용※잔돈적립서비스를통한잔돈적립을의미하며,동일월수회이용시에도1회납입으로인정","-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용하며,만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-타행잔돈적립을위한연결계좌는당행오픈뱅킹에등록된타행입출금계좌최대3개설정가능합니다.-1회차납입금액은제한이없으나2회차이후납입금액은매월초일부터말일까지의입금합계액이가입한도의10%를초과할수없습니다.※월최대불입액:50만원.,0,0,0,0,0,0,0,100,0
13350,1130313561,웰컴저축은행,WELCOME 잔돈모아올림적금,자유적립식,0.028,0.0237,-,제한없음,제한없음,단리,http://www.welcomebank.co.kr/,16610001,스마트폰,"-만기올림서비스:만기해지시세후원리금을만원단위로올려주는서비스(아래모두충족시제공)1.만기시총불입금1백만원이상2.당행잔돈적립4회이상이용3.타행잔돈적립4회이상이용※잔돈적립서비스를통한잔돈적립을의미하며,동일월수회이용시에도1회납입으로인정","-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용하며,만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-타행잔돈적립을위한연결계좌는당행오픈뱅킹에등록된타행입출금계좌최대3개설정가능합니다.-1회차납입금액은제한이없으나2회차이후납입금액은매월초일부터말일까지의입금합계액이가입한도의10%를초과할수없습니다.※월최대불입액:50만원.,0,0,0,0,0,0,0,100,0
12840,JJ05,대신저축은행,스마트정기적금,정액적립식,0.027,0.0228,"14,847",스마트뱅크가입고객,제한없음,단리,http://bank.daishin.com,16445600,스마트폰,없음,-만기후1개월이내:당초약정이율과만기시점해당상품신규약정이율중낮은이율-만기후1개월초과:만기시점보통예금이율(현재0.1%),가입채널제한(모바일앱전용상품),0,0,0,0,0,0,0,100,0
10349,3139,디비저축은행,DreamBig정기적금(20만원),정액적립식,0.027,0.0228,"14,847",제한없음,제한없음,단리,http://www.idbsb.com/,237051700,"영업점,인터넷,스마트폰","적금가입이후부터적금만기30일이전까지DB손해보험다이렉트인터넷자동차보험을인터넷사이트를통해보험가입기간1년으로하여보험료금삼십만원(\300,000)이상의신규가입또는갱신하여적금만기시까지보험계약유지한경우*월불입금액20만원기준금리2.7%+우대금리1.9%=4.6%",-1개월이하:기본이율-1개월초과:0.5%,-1인1계좌(상세내용은홈페이지상품설명서참조),0,0,0,0,0,0,0,100,0
10349,3140,디비저축은행,DreamBig정기적금(30만원),정액적립식,0.027,0.0228,"14,847",제한없음,제한없음,단리,http://www.idbsb.com/,237051700,"영업점,인터넷,스마트폰","적금가입이후부터적금만기30일이전까지DB손해보험다이렉트인터넷자동차보험을인터넷사이트를통해보험가입기간1년으로하여보험료금삼십만원(\300,000)이상의신규가입또는갱신하여적금만기시까지보험계약유지한경우*월불입금액30만원기준금리2.7%+우대금리1.2%=3.9%",-1개월이하:기본이율-1개월초과:0.5%,-1인1계좌(상세내용은홈페이지상품설명서참조),0,0,0,0,0,0,0,100,0
10349,3141,디비저축은행,DreamBig정기적금(40만원),정액적립식,0.027,0.0228,"14,847",제한없음,제한없음,단리,http://www.idbsb.com/,237051700,"영업점,인터넷,스마트폰","적금가입이후부터적금만기30일이전까지DB손해보험다이렉트인터넷자동차보험을인터넷사이트를통해보험가입기간1년으로하여보험료금삼십만원(\300,000)이상의신규가입또는갱신하여적금만기시까지보험계약유지한경우*월불입금액40만원기준금리2.7%+우대금리0.9%=3.6%",-1개월이하:기본이율-1개월초과:0.5%,-1인1계좌(상세내용은홈페이지상품설명서참조),0,0,0,0,0,0,0,100,0
10464,310008,영진저축은행,정기적금,정액적립식,0.027,0.0228,"14,847",내·외국인대상,제한없음,단리,http://www.yjbank.co.kr,326512121,영업점,없음,-만기후1개월이내해지시약정이율적용(가입시점이율과만기시점이율중낮은이율)-만기후1개월이후해지시보통예금금리(0.5%)적용,1만원이상가입가능,0,0,0,0,0,0,0,100,0
11551,310004,예가람저축은행,2030 Start정기적금,정액적립식,0.027,0.0228,"14,847",제한없음,제한없음,단리,http://www.yegaramsb.co.kr/,18777788,영업점,만기후원금12개월이상정기예금재예치시:0.1%우대,-만기후1개월이내:가입당시약정금리-만기후1개월초과:0.2%,"영업점전용상품,만20~39세고객(생일기준)",0,0,0,0,0,0,0,100,1
10388,310007,유진저축은행,유진 m스마트 정기적금,정액적립식,0.027,0.0228,"14,847",개인,제한없음,단리,http://www.eugenebank.com,15446700,스마트폰,[※유의사항]1인1계좌/모바일뱅킹(유행)전용상품/가입금액:최대월불입액100만원,-1개월까지:당초약정이율과만기시약정이율을비교하여낮은금리적용-1개월초과:연0.1%,[중도해지이율](입금액마다경과기간별차등적용)-1개월미만:가입일의보통예금금리-6개월미만:약정이율X50%-9개월미만:약정이율X55%-12개월미만:약정이율X60%-12개월이상:약정이율X70%,0,0,0,0,0,0,0,100,0
10456,310009,키움저축은행,"e-plus 정기적금 (인터넷뱅킹,스마트뱅킹)",정액적립식,0.027,0.0228,"14,847",개인및개인사업자,제한없음,단리,http://www.kiwoombank.com,16700077,"인터넷,스마트폰",없음,-만기후1개월이내당초약정금리또는만기시동일상품동일계약기간의신규약정금리중낮은이율-만기후1개월초과연0.2%(신규시점의보통예금금리)※2019년7월1일이후신규가입계좌에한함.,인터넷가입,30,0,0,0,0,0,0,70,0
10456,310010,키움저축은행,SB톡톡정기적금 (비대면),정액적립식,0.027,0.0228,"14,847",제한없음,제한없음,단리,http://www.kiwoombank.com,16700077,스마트폰,없음,-만기후1개월이내당초약정금리또는만기시동일상품동일계약기간의신규약정금리중낮은이율-만기후1개월초과연0.2%(신규시점의보통예금금리)※2019년7월1일이후신규가입계좌에한함.,비대면,0,0,0,0,0,0,0,100,0
13308,JTCSB310026,JT친애저축은행,비대면 정기적금,정액적립식,0.027,0.0228,"14,847",제한없음,제한없음,단리,http://www.jtchinae-bank.co.kr/,15990060,스마트폰,없음,-1개월이내해지시:약정이율적용-1개월초과이후해지시:보통예금금리적용,없음,0,0,0,0,0,0,0,100,0
10390,310004,고려저축은행,씨앗 정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.goryosb.co.kr,18779900,영업점,-18개월이상가입건중만기원금전액예금으로가입시예금+0.2%(증액불가),1.2019.06.30가입분까지만기시점보통예금이자율(현재0.1%)2.2019.07.01가입분부터-1개월이내:당초약정금리와만기시동일상품동일계약기간의신규약정금리중낮은이율-1개월초과:보통예금이자율(현재0.1%),-,0,0,0,0,0,0,0,100,0
10421,KH3103,금화저축은행,비대면-정기적금,정액적립식,0.026,0.022,"14,297",비대면어플사용자,제한없음,단리,http://www.kuemhwabank.co.kr/,325266000,스마트폰,-,-만기후1개월이내:약정금리-만기후1개월초과:보통예금이율,스마트폰으로비대면어플사용자만신규가능,0,0,0,0,0,0,0,100,0
10421,KH3101,금화저축은행,e-정기적금,정액적립식,0.026,0.022,"14,297",인터넷및모바일뱅킹사용자,제한없음,단리,http://www.kuemhwabank.co.kr/,325266000,"인터넷,스마트폰",-,-만기후1개월이내:약정금리-만기후1개월초과:보통예금이율,없음,0,0,0,0,0,0,0,100,0
10421,KH3102,금화저축은행,e-행복더드림정기적금,정액적립식,0.026,0.022,"14,297",인터넷및모바일뱅킹사용자,제한없음,단리,http://www.kuemhwabank.co.kr/,325266000,"인터넷,스마트폰","인터넷,모바일전용상품",-만기후1개월이내:약정금리-만기후1개월초과:보통예금이율,-인터넷및모바일뱅킹전용상품-1인당최고월100만원불입가능,0,0,0,0,0,0,0,100,0
10528,310011,더블저축은행,정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.doublebank.co.kr/557_PrfLovaInfo_004.act,622235506,"영업점,인터넷,스마트폰",없음,-만기경과1개월이내-계약기간1년이상정기적금만기시1년현행이율-계약기간1년미만정기적금만기시해당약정기간정기적금현행이율-만기경과1개월이후:보통예금이율,예금자보호한도외기타사항없음,0,0,0,0,0,0,0,100,0
10363,310028,더케이저축은행,e-정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.thekbank.co.kr,25695600,"영업점,인터넷,스마트폰",없음,-30일이내:약정금리와현행고시금리중낮은이율-30일이후:보통예금이율,"-인터넷뱅킹,스마트폰뱅킹전용",0,0,0,0,0,0,0,100,0
10527,310001,동양저축은행,정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.dysbank.com/,627200800,"영업점,인터넷,스마트폰",없음,-1개월내:가입당시이율과만기시점해당계약기간이율과비교하여낮은금리적용-1개월후:보통예금금리와동일,없음,0,0,0,0,0,0,0,100,0
10551,312001,드림저축은행,톡톡 정기적금(비대면),정액적립식,0.026,0.022,"14,297",-제한없음,제한없음,단리,http://dreamsb.com,536635000,스마트폰,-,보통예금금리,-스마트폰전용,0,0,0,0,0,0,0,100,0
10453,310006,부림저축은행,아이사랑 정기적금,정액적립식,0.026,0.022,"14,297",미취학아동과부모님이함께가입,제한없음,단리,http://www.bulimbank.co.kr/,314433800,영업점,미취학아동과부모님이함께가입하는경우,-만기후1개월이내:가입당시약정금리와현재금리비교후낮은금리-만기후1개월초과:연0.25%,[중도해지이율]-1개월미만:0.25%(보통예금이율)-1개월이상3개월미만:약정이율*50%-3개월이상12개월미만:약정이율*55%-12개월이상:약정이율*60%,0,30,0,30,0,0,0,40,1
10572,310011,솔브레인저축은행,"쏠쏠한정기적금 [창구,인터넷(스마트)뱅킹,비대면]",정액적립식,0.026,0.022,"14,297","-개인(SB톡톡플러스는만19세이상)-e-쏠쏠한정기적금,쏠쏠한정기적금(비대면)중중복가입불가[1인1계좌]",제한없음,단리,http://www.soulbrainsb.co.kr/,518618600,"영업점,인터넷,스마트폰",-개인-만기해지시지급이율적용[지급이율=약정이율+우대이율(약정이율은가입시기간별정기예금이율(2년초과기간은2년이율적용))],-만기후1개월까지:계약기간별[가입시약정이율과만기시약정이율]중낮은이율-만기후1개월이후:보통예금이율(0.3%),월불입액100만원이하,0,0,0,0,0,0,0,100,0
10463,310007,안양저축은행,비대면-정기적금,정액적립식,0.026,0.022,"14,297","만19세이상내국인개인고객,본인스마트폰소지자,신분증(주민등록증또는운전면허증)소지자,최근30일이내전은행에서입출금통장개설내역이없는고객,미국인납세자에해당하지않는고객",제한없음,단리,http://www.anyangbank.co.kr,314414141,스마트폰,없음,"만기후한달까지약정금리-현행금리비교하여낮은금리적용,이후0.1%",[중도해지이율]-1개월미만:계약일의보통예금금리-1개월이상6개월미만:약정이율의50%-6개월이상12개월미만:약정이율의60%-12개월이상:약정이율의70%,0,0,0,0,0,0,0,100,0
10426,311001,인천저축은행,e-보다정기적금,정액적립식,0.026,0.022,"14,297",인터넷뱅킹가입대상,제한없음,단리,http://www.incheonbank.com/,324212111,"인터넷,스마트폰",인터넷뱅킹전용상품,-만기후1개월이내:최초약정이율-만기1개월이후:연0.1%,월불입액1만원이상,0,0,0,0,0,0,0,100,0
10366,024310001,조은저축은행,정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.choeunbank.com/,222600700,영업점,"-최고우대금리:0.1%-자영업자,직장인,만60세이상부모를둔자녀(증빙서류제출-사업자등록증,명함,사원카드):0.1%",-1개월이내해지:만기시동일상품동일계약기간의신규약정금리-1개월초과이후해지:보통예금이율,없음,0,0,0,0,0,0,0,100,0
10366,024311001,조은저축은행,e-정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.choeunbank.com/,222600700,"인터넷,스마트폰",없음,-1개월이내해지:만기시동일상품동일계약기간의신규약정금리-1개월초과이후해지:보통예금이율,없음,0,0,0,0,0,0,0,100,0
10560,C614004,참저축은행,비대면정기적금,정액적립식,0.026,0.022,"14,297",없음,제한없음,단리,http://www.charmbank.co.kr/goods/deposit_01View.do,537207300,"인터넷,스마트폰",없음,-만기후1개월간:가입이율과만기일당시기간별정기적금이율중낮은이율-만기후1개월초과:보통예금이율(연0.25%)*적용대상:19.07.01신규가입자부터적용(이전가입자는영업점확인요망),없음,0,0,0,0,0,0,0,100,0
10359,311001,키움예스저축은행,키워드림 e-정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.kiwoomyesbank.com,25582501,"인터넷,스마트폰",-,-1개월이내:만기시동일상품동일계약기간의신규약정이율및당초약정이율중낮은이율(고정)-1개월초과:만기시점보통예금이율,-,0,0,0,0,0,0,0,100,0
10359,311002,키움예스저축은행,SB톡톡 키워드림 정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.kiwoomyesbank.com,25582501,스마트폰,-,-1개월이내:만기시동일상품동일계약기간의신규약정이율및당초약정이율중낮은이율(고정)-1개월초과:만기시점보통예금이율,-,0,0,0,0,0,0,0,100,0
13308,JTCSB310010,JT친애저축은행,정기적금,정액적립식,0.026,0.022,"14,297",제한없음,제한없음,단리,http://www.jtchinae-bank.co.kr/,15990060,"영업점,인터넷",0,-1개월이내해지시:약정이율적용-1개월초과이후해지시:보통예금금리적용,없음,0,0,0,0,0,0,0,100,0
10390,311002,고려저축은행,정기적금 (비대면),정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.goryosb.co.kr,18779900,"인터넷,스마트폰",-,1.2019.06.30가입분까지만기시점보통예금이자율(현재0.1%)2.2019.07.01가입분부터-1개월이내:당초약정금리와만기시동일상품동일계약기간의신규약정금리중낮은이율-1개월초과:보통예금이자율(현재0.1%),-,0,0,0,0,0,0,0,100,0
10421,KH3100,금화저축은행,정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.kuemhwabank.co.kr/,325266000,영업점,창구전용상품,-만기후1개월이내:약정금리-만기후1개월초과:보통예금이율,없음,0,0,0,0,0,0,0,100,0
10449,NY310009,남양저축은행,비대면-정기적금,정액적립식,0.025,0.0212,"13,748","만19세이상내국인개인고객,본인스마트폰소지자,신분증(주민등록증또는운전면허증)소지자,미국인납세자에해당하지않는고객",제한없음,단리,http://www.nybank.co.kr,315663300,스마트폰,없음,"만기후한달까지약정금리-현행금리비교하여낮은금리적용,이후0.1%",[중도해지이율]-1개월미만:계약일의보통예금금리-1개월이상6개월미만:약정이율의50%-6개월이상12개월미만:약정이율의55%-12개월이상:약정이율의65%,0,0,0,0,0,0,0,100,0
10449,NY310009,남양저축은행,비대면-정기적금,정액적립식,0.025,0.0212,"13,837","만19세이상내국인개인고객,본인스마트폰소지자,신분증(주민등록증또는운전면허증)소지자,미국인납세자에해당하지않는고객",제한없음,복리,http://www.nybank.co.kr,315663300,스마트폰,없음,"만기후한달까지약정금리-현행금리비교하여낮은금리적용,이후0.1%",[중도해지이율]-1개월미만:계약일의보통예금금리-1개월이상6개월미만:약정이율의50%-6개월이상12개월미만:약정이율의55%-12개월이상:약정이율의65%,0,0,0,0,0,0,0,100,0
10449,NY310007,남양저축은행,e-정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.nybank.co.kr,315663300,"인터넷,스마트폰",없음,"만기후한달까지약정금리-현행금리비교하여낮은금리적용,이후0.1%",[중도해지이율]-1개월미만:계약일의보통예금금리-1개월이상6개월미만:약정이율의50%-6개월이상12개월미만:약정이율의55%-12개월이상:약정이율의65%,0,0,0,0,0,0,0,100,0
10449,NY310007,남양저축은행,e-정기적금,정액적립식,0.025,0.0212,"13,837",제한없음,제한없음,복리,http://www.nybank.co.kr,315663300,"인터넷,스마트폰",없음,"만기후한달까지약정금리-현행금리비교하여낮은금리적용,이후0.1%",[중도해지이율]-1개월미만:계약일의보통예금금리-1개월이상6개월미만:약정이율의50%-6개월이상12개월미만:약정이율의55%-12개월이상:약정이율의65%,0,0,0,0,0,0,0,100,0
12840,JJ,대신저축은행,정기적금,정액적립식,0.025,0.0212,"13,748",모든고객,제한없음,단리,http://bank.daishin.com,16445600,"영업점,인터넷",없음,-만기후1개월이내:당초약정이율과만기시점해당상품신규약정이율중낮은이율-만기후1개월초과:만기시점보통예금이율(현재0.1%),없음,0,0,0,0,0,0,0,100,0
10526,310007,대한저축은행,정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.daehanbank.co.kr,625275701,"영업점,인터넷",없음,-만기후1개월이내:가입당시약정금리와현재금리비교후낮은금리-만기후1개월초과:보통예금금리,해당없음,0,0,0,0,0,0,0,100,0
10363,310027,더케이저축은행,정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.thekbank.co.kr,25695600,"영업점,인터넷,스마트폰",없음,-30일이내:약정금리와현행고시금리중낮은이율-30일이후:보통예금이율,없음,0,0,0,0,0,0,0,100,0
10551,310001,드림저축은행,정기적금,정액적립식,0.025,0.0212,"13,748",-제한없음,제한없음,단리,http://dreamsb.com,536635000,"영업점,인터넷,스마트폰","최고우대금리:0.1%-학생(초,중,고,대학생):1년이상가입시0.1%-각종공연및관람권티켓소지자:1년이상가입시0.1%-자원봉사자우대:0.1%-인터넷가입우대:0.1%-비대면가입우대:0.1%",-보통예금금리,-우대금리중복적용불가,0,0,0,0,0,0,0,100,0
10556,310001,머스트삼일저축은행,비대면정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.samilbank.co.kr/,542754060,스마트폰,없음,-만기후1개월이내:약정이율Ⅹ100%-만기후1개월초과:연0.2%,없음,0,0,0,0,0,0,0,100,0
10430,310009,모아저축은행,생일축하정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.moasb.co.kr/,324303300,영업점,-주민등록상생일기준±10일이내고객,-만기후1개월이내:만기시점동일상품의신규약정금리-만기후1개월초과:보통예금금리(현재연0.2%),-1인당가입한도:월30만원이상,0,0,0,0,0,0,0,100,0
10430,311001,모아저축은행,e-모아 정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.moasb.co.kr/,324303300,"인터넷,스마트폰",없음,-만기후1개월이내:만기시점동일상품의신규약정금리-만기후1개월초과:보통예금금리(현재연0.2%),-1인당가입한도:계약금액1만원이상,0,0,0,0,0,0,0,100,0
10430,310006,모아저축은행,12干支정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.moasb.co.kr/,324303300,영업점,-해당연도의띠인고객,-만기후1개월이내:만기시점동일상품의신규약정금리-만기후1개월초과:보통예금금리(현재연0.2%),-1인당가입한도:월30만원이상,0,0,0,0,0,0,0,100,0
10354,MK310017,민국저축은행,비대면정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.mkb.co.kr,222710071,스마트폰,없음,-1개월이내:가입당시약정금리와현재금리비교후낮은금리-1개월이후:보통예금금리적용,없음,0,0,0,0,0,0,0,100,0
10354,MK310022,민국저축은행,톡톡정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.mkb.co.kr,222710071,스마트폰,없음,-1개월이내:가입당시약정금리와현재금리비교후낮은금리-1개월이후:보통예금금리적용,없음,0,0,0,0,0,0,0,100,0
10354,MK310004,민국저축은행,e-행복정기적금,정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.mkb.co.kr,222710071,인터넷,없음,-1개월이내:가입당시약정금리와현재금리비교후낮은금리-1개월이후:보통예금금리적용,없음,0,0,0,0,0,0,0,100,0
10378,310004,바로저축은행,스마트정기적금(인터넷),정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.barosavings.com,34670100,인터넷,없음,-만기후1개월이내:약정금리와현행금리중낮은금리-만기후1개월초과:보통예금금리,"최소납입금액10,000원이상",0,0,0,0,0,0,0,100,0
10378,310009,바로저축은행,SB톡톡 정기적금(비대면),정액적립식,0.025,0.0212,"13,748",제한없음,제한없음,단리,http://www.barosavings.com,34670100,스마트폰,없음,-만기후1개월이내:약정금리와현행금리중낮은금리-만기후1개월초과:보통예금금리,"최소납입금액10,000원이상",0,0,0,0,0,0,0,100,0
10453,310011,부림저축은행,톡톡정기적금(비대면),정액적립식,0.025,0.0212,"13,748",개인,제한없음,단리,http://www.bulimbank.co.kr/,314433800,스마트폰,없음,-만기후1개월이내:가입당시약정금리와현재금리비교후낮은금리-만기후1개월초과:연0.25%,[중도해지이율]-1개월미만:0.25%(보통예금이율)-1개월이상3개월미만:약정이율*50%-3개월이상12개월미만:약정이율*55%-12개월이상:약정이율*60%,0,0,0,0,0,0,0,100,0
